data 1	data 2			data 1	data 2		difference1	difference1^2	?1		difference2	difference2^2	?2
31	35		mean value	31	36,63		0	0	5,531726674		-1,63	2,6569	6,987520805
32	36						1	1			-0,63	0,3969	
31	36						0	0			-0,63	0,3969	
30	35						-1	1			-1,63	2,6569	
30	37						-1	1			0,37	0,1369	
31	37						0	0			0,37	0,1369	
31	36						0	0			-0,63	0,3969	
30	37						-1	1			0,37	0,1369	
31	37						0	0			0,37	0,1369	
30	36						-1	1			-0,63	0,3969	
30	37						-1	1			0,37	0,1369	
31	37						0	0			0,37	0,1369	
30	37						-1	1			0,37	0,1369	
31	37						0	0			0,37	0,1369	
31	36						0	0			-0,63	0,3969	
30	36						-1	1			-0,63	0,3969	
30	37						-1	1			0,37	0,1369	
30	37						-1	1			0,37	0,1369	
32	36						1	1			-0,63	0,3969	
30	37						-1	1			0,37	0,1369	
29	37						-2	4			0,37	0,1369	
29	37						-2	4			0,37	0,1369	
32	37						1	1			0,37	0,1369	
31	37						0	0			0,37	0,1369	
32	37						1	1			0,37	0,1369	
31	37						0	0			0,37	0,1369	
30	37						-1	1			0,37	0,1369	
31	37						0	0			0,37	0,1369	
31	38						0	0			1,37	1,8769	
31	38						0	0			1,37	1,8769	
31	37						0	0			0,37	0,1369	
31	38						0	0			1,37	1,8769	
31	37						0	0			0,37	0,1369	
32	38						1	1			1,37	1,8769	
30	37						-1	1			0,37	0,1369	
30	36						-1	1			-0,63	0,3969	
31	36						0	0			-0,63	0,3969	
31	34						0	0			-2,63	6,9169	
31	37						0	0			0,37	0,1369	
32	36						1	1			-0,63	0,3969	
32	35						1	1			-1,63	2,6569	
31	36						0	0			-0,63	0,3969	
32	34						1	1			-2,63	6,9169	
32	34						1	1			-2,63	6,9169	
32	33						1	1			-3,63	13,1769	
31	34						0	0			-2,63	6,9169	
31	35						0	0			-1,63	2,6569	
31	36						0	0			-0,63	0,3969	
31	35						0	0			-1,63	2,6569	
29	37						-2	4			0,37	0,1369	
30	35						-1	1			-1,63	2,6569	
32	35						1	1			-1,63	2,6569	
30	35						-1	1			-1,63	2,6569	
32	35						1	1			-1,63	2,6569	
30	36						-1	1			-0,63	0,3969	
31	37						0	0			0,37	0,1369	
31	34						0	0			-2,63	6,9169	
30	34						-1	1			-2,63	6,9169	
29	36						-2	4			-0,63	0,3969	
31	35						0	0			-1,63	2,6569	
30	36						-1	1			-0,63	0,3969	
29	38						-2	4			1,37	1,8769	
30	38						-1	1			1,37	1,8769	
31	36						0	0			-0,63	0,3969	
30	36						-1	1			-0,63	0,3969	
28	37						-3	9			0,37	0,1369	
32	35						1	1			-1,63	2,6569	
28	36						-3	9			-0,63	0,3969	
30	37						-1	1			0,37	0,1369	
31	36						0	0			-0,63	0,3969	
31	37						0	0			0,37	0,1369	
30	36						-1	1			-0,63	0,3969	
29	37						-2	4			0,37	0,1369	
29	37						-2	4			0,37	0,1369	
30	38						-1	1			1,37	1,8769	
31	37						0	0			0,37	0,1369	
31	37						0	0			0,37	0,1369	
31	37						0	0			0,37	0,1369	
30	38						-1	1			1,37	1,8769	
32	36						1	1			-0,63	0,3969	
31	35						0	0			-1,63	2,6569	
31	35						0	0			-1,63	2,6569	
31	37						0	0			0,37	0,1369	
32	36						1	1			-0,63	0,3969	
31	36						0	0			-0,63	0,3969	
29	36						-2	4			-0,63	0,3969	
31	35						0	0			-1,63	2,6569	
32	35						1	1			-1,63	2,6569	
30	35						-1	1			-1,63	2,6569	
31	35						0	0			-1,63	2,6569	
32	36						1	1			-0,63	0,3969	
32	38						1	1			1,37	1,8769	
32	37						1	1			0,37	0,1369	
30	38						-1	1			1,37	1,8769	
30	37						-1	1			0,37	0,1369	
29	37						-2	4			0,37	0,1369	
32	36						1	1			-0,63	0,3969	
31	37						0	0			0,37	0,1369	
31	38						0	0			1,37	1,8769	
30	36						-1	1			-0,63	0,3969	
32	35						1	1			-1,63	2,6569	
